IDENTIFIER, NAME, NUMENTRIES,
DATE, TIME, IDENTIFIER, SYSTEM_STATUS, LAT, LON, WIND, PRESSURE, 
AL012013,             ANDREA,     14,
20130605, 1800,  , TS, 25.1,  -86.6,  35, 1006,
20130606, 0000,  , TS, 25.6,  -86.5,  40, 1002,
20130606, 0600,  , TS, 26.7,  -86.1,  50,  999,
20130606, 1200,  , TS, 27.8,  -84.9,  55,  995,
20130606, 1800,  , TS, 28.9,  -83.9,  55,  993,
20130606, 2200, L, TS, 29.5,  -83.4,  50,  992,
20130607, 0000,  , TS, 29.8,  -83.0,  40,  993,
20130607, 0600,  , TS, 31.6,  -81.4,  40,  996,
20130607, 1200,  , TS, 33.5,  -80.2,  40,  996,
20130607, 1800,  , EX, 35.2,  -78.6,  40,  996,
20130608, 0000,  , EX, 37.4,  -76.2,  40,  997,
20130608, 0600,  , EX, 39.9,  -73.6,  40,  997,
20130608, 1200,  , EX, 42.4,  -70.4,  40,  999,
20130608, 1800,  , EX, 44.5,  -67.0,  40, 1002,
AL022013,              BARRY,     23,
20130616, 0000,  , LO, 12.4,  -81.5,  20, 1009,
20130616, 0600,  , LO, 13.4,  -82.0,  20, 1009,
20130616, 1200,  , LO, 14.2,  -82.8,  25, 1008,
20130616, 1800,  , LO, 14.8,  -83.8,  25, 1008,
20130617, 0000,  , LO, 15.3,  -84.8,  25, 1008,
20130617, 0600,  , LO, 15.6,  -85.9,  25, 1008,
20130617, 1200,  , TD, 16.0,  -87.0,  30, 1007,
20130617, 1800,  , TD, 16.3,  -87.9,  30, 1007,
20130617, 2200, L, TD, 16.5,  -88.4,  30, 1006,
20130618, 0000,  , TD, 16.6,  -88.6,  30, 1007,
20130618, 0600,  , TD, 17.0,  -89.3,  25, 1009,
20130618, 1200,  , TD, 17.6,  -90.3,  30, 1008,
20130618, 1800,  , TD, 18.2,  -91.3,  30, 1008,
20130619, 0000,  , TD, 18.8,  -92.2,  30, 1007,
20130619, 0600,  , TD, 19.2,  -93.1,  30, 1007,
20130619, 1200,  , TS, 19.5,  -94.0,  35, 1006,
20130619, 1800,  , TS, 19.6,  -94.8,  40, 1005,
20130620, 0000,  , TS, 19.6,  -95.4,  40, 1003,
20130620, 0600,  , TS, 19.6,  -95.9,  40, 1003,
20130620, 1115, L, TS, 19.6,  -96.4,  40, 1003,
20130620, 1200,  , TS, 19.6,  -96.5,  40, 1004,
20130620, 1800,  , TD, 19.6,  -97.0,  30, 1007,
20130621, 0000,  , LO, 19.6,  -97.5,  25, 1011,
AL032013,            CHANTAL,     13,
20130707, 1200,  , TS,  9.3,  -41.4,  35, 1011,
20130707, 1800,  , TS,  9.5,  -43.8,  35, 1011,
20130708, 0000,  , TS,  9.8,  -46.1,  35, 1010,
20130708, 0600,  , TS, 10.1,  -48.4,  35, 1009,
20130708, 1200,  , TS, 10.7,  -50.6,  40, 1008,
20130708, 1800,  , TS, 11.4,  -52.9,  45, 1007,
20130709, 0000,  , TS, 12.1,  -55.2,  50, 1006,
20130709, 0600,  , TS, 13.0,  -57.7,  50, 1005,
20130709, 1200,  , TS, 13.9,  -60.3,  55, 1003,
20130709, 1800,  , TS, 14.8,  -62.9,  55, 1006,
20130710, 0000,  , TS, 15.6,  -65.6,  45, 1008,
20130710, 0600,  , TS, 16.2,  -68.4,  40, 1010,
20130710, 1200,  , TS, 16.7,  -71.2,  40, 1011,
AL042013,             DORIAN,     51,
20130722, 1800,  , LO, 11.3,  -20.0,  25, 1009,
20130723, 0000,  , LO, 11.5,  -20.9,  25, 1009,
